Board Name                                         FQBN
u-blox NORA-W10 series (ESP32-S3)                  esp32:esp32:nora_w10
uPesy EDU ESP32                                    esp32:esp32:uPesy_edu_esp32
uPesy ESP32 Wroom DevKit                           esp32:esp32:uPesy_wroom
uPesy ESP32 Wrover DevKit                          esp32:esp32:uPesy_wrover
uPesy ESP32C3 Basic                                esp32:esp32:upesy_esp32c3_basic
uPesy ESP32C3 Mini                                 esp32:esp32:upesy_esp32c3_mini
uPesy ESP32S3 Basic                                esp32:esp32:upesy_esp32s3_basic
unPhone 7                                          esp32:esp32:unphone7
unPhone 8                                          esp32:esp32:unphone8
unPhone 9                                          esp32:esp32:unphone9

